compute,1,1001,1491492962270.00,,6,1419722648,1419722648
compute,1,1000,1491492961243.00,,26,1419722648,1419722648
compute,1,999,1491492960236.00,,6,1419722648,1419722648
compute,1,998,1491492959230.00,,6,1419722648,1419722648
compute,1,997,1491492958204.00,,26,1419722648,1419722648
compute,1,996,1491492957198.00,,5,1419722648,1419722648
compute,1,995,1491492956192.00,,6,1419722648,1419722648
compute,1,994,1491492955165.00,,26,1419722648,1419722648
compute,1,993,1491492954158.00,,6,1419722648,1419722648
compute,1,992,1491492953151.00,,6,1419722648,1419722648
compute,1,991,1491492952124.00,,27,1419722648,1419722648
compute,1,990,1491492948916.00,,6,1535308776,1535308776
compute,1,989,1491492947889.00,,26,1535308776,1535308776
compute,1,988,1491492946883.00,,6,1535308776,1535308776
compute,1,987,1491492945877.00,,6,1535308776,1535308776
compute,1,986,1491492944849.00,,27,1535308776,1535308776
compute,1,985,1491492943843.00,,6,1535308776,1535308776
compute,1,984,1491492942837.00,,6,1535308776,1535308776
compute,1,983,1491492941830.00,,7,1535308776,1535308776
compute,1,982,1491492940823.00,,7,1535308776,1535308776
compute,1,981,1491492939817.00,,6,1535308776,1535308776
compute,1,980,1491492938790.00,,26,1535308776,1535308776
compute,1,979,1491492935437.00,,5,1593721136,1593721136
compute,1,978,1491492934430.00,,6,1593721136,1593721136
compute,1,977,1491492933404.00,,26,1593721136,1593721136
compute,1,976,1491492932398.00,,5,1593721136,1593721136
compute,1,975,1491492931391.00,,6,1593721136,1593721136
compute,1,974,1491492930365.00,,26,1593721136,1593721136
compute,1,973,1491492929358.00,,6,1593721136,1593721136
compute,1,972,1491492928351.00,,7,1593721136,1593721136
compute,1,971,1491492927324.00,,27,1593721136,1593721136
compute,1,970,1491492926317.00,,7,1593721136,1593721136
compute,1,969,1491492925311.00,,6,1593721136,1593721136
compute,1,968,1491492924284.00,,27,1593721136,1593721136
compute,1,967,1491492920708.00,,6,1215465120,1215465120
compute,1,966,1491492919701.00,,6,1215465120,1215465120
compute,1,965,1491492918674.00,,27,1215465120,1215465120
compute,1,964,1491492917668.00,,6,1215465120,1215465120
compute,1,963,1491492916662.00,,6,1215465120,1215465120
compute,1,962,1491492915656.00,,6,1215465120,1215465120
compute,1,961,1491492914649.00,,6,1215465120,1215465120
compute,1,960,1491492913643.00,,6,1215465120,1215465120
compute,1,959,1491492912625.00,,18,1215465120,1215465120
compute,1,958,1491492910402.00,,6,1023852016,1023852016
compute,1,957,1491492909374.00,,27,1023852016,1023852016
compute,1,956,1491492908367.00,,7,1023852016,1023852016
compute,1,955,1491492907361.00,,6,1023852016,1023852016
compute,1,954,1491492906334.00,,26,1023852016,1023852016
compute,1,953,1491492905328.00,,6,1023852016,1023852016
compute,1,952,1491492904321.00,,6,1023852016,1023852016
compute,1,951,1491492903294.00,,27,1023852016,1023852016
compute,1,950,1491492900982.00,,6,926661824,926661824
compute,1,949,1491492899956.00,,26,926661824,926661824
compute,1,948,1491492898949.00,,6,926661824,926661824
compute,1,947,1491492897943.00,,6,926661824,926661824
compute,1,946,1491492896917.00,,26,926661824,926661824
compute,1,945,1491492895910.00,,6,926661824,926661824
compute,1,944,1491492894881.00,,28,926661824,926661824
compute,1,943,1491492893198.00,,27,1285435424,1285435424
compute,1,942,1491492892191.00,,7,1285435424,1285435424
compute,1,941,1491492891184.00,,7,1285435424,1285435424
compute,1,940,1491492890158.00,,26,1285435424,1285435424
compute,1,939,1491492889151.00,,7,1285435424,1285435424
compute,1,938,1491492888145.00,,6,1285435424,1285435424
compute,1,937,1491492887118.00,,27,1285435424,1285435424
compute,1,936,1491492886112.00,,6,1285435424,1285435424
compute,1,935,1491492885105.00,,7,1285435424,1285435424
compute,1,934,1491492884079.00,,26,1285435424,1285435424
compute,1,933,1491492881402.00,,6,1467438584,1467438584
compute,1,932,1491492880375.00,,26,1467438584,1467438584
compute,1,931,1491492879369.00,,6,1467438584,1467438584
compute,1,930,1491492878363.00,,5,1467438584,1467438584
compute,1,929,1491492877336.00,,26,1467438584,1467438584
compute,1,928,1491492876330.00,,6,1467438584,1467438584
compute,1,927,1491492875323.00,,6,1467438584,1467438584
compute,1,926,1491492874317.00,,6,1467438584,1467438584
compute,1,925,1491492873310.00,,6,1467438584,1467438584
compute,1,924,1491492872303.00,,6,1467438584,1467438584
compute,1,923,1491492871275.00,,28,1467438584,1467438584
compute,1,922,1491492868719.00,,6,1559507752,1559507752
compute,1,921,1491492867712.00,,7,1559507752,1559507752
compute,1,920,1491492866686.00,,26,1559507752,1559507752
compute,1,919,1491492865680.00,,6,1559507752,1559507752
compute,1,918,1491492864675.00,,5,1559507752,1559507752
compute,1,917,1491492863648.00,,26,1559507752,1559507752
compute,1,916,1491492862642.00,,6,1559507752,1559507752
compute,1,915,1491492861635.00,,6,1559507752,1559507752
compute,1,914,1491492860609.00,,26,1559507752,1559507752
compute,1,913,1491492859602.00,,6,1559507752,1559507752
compute,1,912,1491492858596.00,,6,1559507752,1559507752
compute,1,911,1491492857568.00,,27,1559507752,1559507752
compute,1,910,1491492854082.00,,6,1606140720,1606140720
compute,1,909,1491492853076.00,,6,1606140720,1606140720
compute,1,908,1491492852049.00,,26,1606140720,1606140720
compute,1,907,1491492851042.00,,6,1606140720,1606140720
compute,1,906,1491492850036.00,,6,1606140720,1606140720
compute,1,905,1491492849009.00,,27,1606140720,1606140720
compute,1,904,1491492848003.00,,6,1606140720,1606140720
