1) 37th Fibonacci calculation, start_time : 23:48:05.181211ok
1) 37th Fibonacci calculation, completed in 724ms, end_time : 23:48:05.906427ok

2) 37th Fibonacci calculation, start_time : 23:48:05.906642ok
2) 37th Fibonacci calculation, completed in 726ms, end_time : 23:48:06.633638ok

3) 37th Fibonacci calculation, start_time : 23:48:06.633930ok
3) 37th Fibonacci calculation, completed in 746ms, end_time : 23:48:07.380891ok

4) 37th Fibonacci calculation, start_time : 23:48:07.381082ok
4) 37th Fibonacci calculation, completed in 760ms, end_time : 23:48:08.142130ok

5) 37th Fibonacci calculation, start_time : 23:48:08.142302ok
5) 37th Fibonacci calculation, completed in 783ms, end_time : 23:48:08.925948ok

6) 37th Fibonacci calculation, start_time : 23:48:08.926440ok
6) 37th Fibonacci calculation, completed in 741ms, end_time : 23:48:09.668702ok

7) 37th Fibonacci calculation, start_time : 23:48:09.668855ok
7) 37th Fibonacci calculation, completed in 731ms, end_time : 23:48:10.400253ok

8) 37th Fibonacci calculation, start_time : 23:48:10.400923ok
8) 37th Fibonacci calculation, completed in 713ms, end_time : 23:48:11.115325ok

9) 37th Fibonacci calculation, start_time : 23:48:11.117402ok
9) 37th Fibonacci calculation, completed in 716ms, end_time : 23:48:11.834559ok

10) 37th Fibonacci calculation, start_time : 23:48:11.834750ok
10) 37th Fibonacci calculation, completed in 738ms, end_time : 23:48:12.574168ok

